Frames,Commands Sent,Bytes Transmitted,IV Num Reads,IV Bytes Read,IV Num Writes,IV Bytes Written,CP Num Reads,CP Bytes Read,CP Num Writes,CP Bytes Written,FV Num Reads,FV Bytes Read,FV Num Writes,FV Bytes Written,Pixels Mapped,Pixels Blended,PSNR,File Name,L1-Hit,L1-Miss,L1-Load,L1-Store,L1-Evict,L2-Hit,L2-Miss,L2-Load,L2-Store,L2-Evict,L3-Hit,L3-Miss,L3-Load,L3-Store,L3-Evict,Mem-Hit,Mem-Miss,Mem-Load,Mem-Store,Mem-Evict
240 , 198 , 28996491 , 99 , 2737152000 , 0 , 0 , 198 , 10036224000 , 18474 , 170256384 , 99000 , 912384000 , 3094 , 28514304 , 228096000 , 0 , inf,../recordings/acmmm2011/./1920x1200/document.mov,176692224,764206080,940898304,28514304,28514304,27671552,736534528,764206080,28514304,28514304,708011008,28523520,736534528,28514304,28514304,28523520,0,28523520,28514304,0
240 , 322 , 156992689 , 161 , 4451328000 , 0 , 0 , 322 , 16321536000 , 43967 , 405199872 , 161000 , 1483776000 , 16898 , 155731968 , 370944000 , 0 , inf,../recordings/acmmm2011/./1920x1200/email.mov,434033664,1205474304,1639507968,155731968,155731968,40153088,1165321216,1205474304,155731968,155731968,1000870912,164450304,1165321216,155731968,155731968,164450304,0,164450304,155731968,0
240 , 330 , 269340873 , 165 , 4561920000 , 0 , 0 , 330 , 16727040000 , 33854 , 311998464 , 165000 , 1520640000 , 29099 , 268176384 , 380160000 , 0 , inf,../recordings/acmmm2011/./1920x1200/digg.mov,555622400,1233193984,1788816384,268176384,268176384,71154688,1162039296,1233193984,268176384,268176384,892090368,269948928,1162039296,268176384,268176384,269948928,0,269948928,268176384,0
240 , 422 , 264080855 , 211 , 5833728000 , 0 , 0 , 422 , 21390336000 , 34588 , 318763008 , 211000 , 1944576000 , 28527 , 262904832 , 486144000 , 0 , inf,../recordings/acmmm2011/./1920x1200/desktop.mov,636717056,1570763776,2207480832,262904832,262904832,69399552,1501364224,1570763776,262904832,262904832,1231314944,270049280,1501364224,262904832,262904832,270049280,0,270049280,262904832,0
240 , 70 , 31706035 , 35 , 967680000 , 0 , 0 , 70 , 3548160000 , 12991 , 119725056 , 35000 , 322560000 , 3402 , 31352832 , 80640000 , 0 , inf,../recordings/acmmm2011/./1920x1200/presentation.mov,178002944,175909888,353912832,31352832,31352832,8819712,167090176,175909888,31352832,31352832,135737344,31352832,167090176,31352832,31352832,31352832,0,31352832,31352832,0
240 , 362 , 165798137 , 181 , 5004288000 , 0 , 0 , 362 , 18349056000 , 22886 , 210917376 , 181000 , 1668096000 , 17907 , 165030912 , 417024000 , 0 , inf,../recordings/acmmm2011/./1920x1200/flickr.mov,862994432,970132480,1833126912,165030912,165030912,78533632,891598848,970132480,165030912,165030912,720014336,171584512,891598848,165030912,165030912,171584512,0,171584512,165030912,0
240 , 332 , 291464294 , 166 , 4589568000 , 0 , 0 , 332 , 16828416000 , 75542 , 696195072 , 166000 , 1529856000 , 31388 , 289271808 , 382464000 , 0 , inf,../recordings/acmmm2011/./1920x1200/maps.mov,311829504,1507298304,1819127808,289271808,289271808,49059840,1458238464,1507298304,289271808,289271808,1165740032,292498432,1458238464,289271808,289271808,292498432,0,292498432,289271808,0
240 , 420 , 436512150 , 210 , 5806080000 , 0 , 0 , 420 , 21288960000 , 59836 , 551448576 , 210000 , 1935360000 , 47147 , 434506752 , 483840000 , 0 , inf,../recordings/acmmm2011/./1920x1200/npr.mov,367636480,2002230272,2369866752,434506752,434506752,79844352,1922385920,2002230272,434506752,434506752,1486020608,436365312,1922385920,434506752,434506752,436365312,0,436365312,434506752,0
240 , 314 , 99900593 , 157 , 4340736000 , 0 , 0 , 314 , 15916032000 , 21733 , 200291328 , 157000 , 1446912000 , 10769 , 99247104 , 361728000 , 0 , inf,../recordings/acmmm2011/./1920x1200/xcode.mov,560244736,985914368,1546159104,99247104,99247104,81464320,904450048,985914368,99247104,99247104,795740160,108709888,904450048,99247104,99247104,108709888,0,108709888,99247104,0
240 , 326 , 268810307 , 163 , 4506624000 , 0 , 0 , 326 , 16524288000 , 53659 , 494521344 , 163000 , 1502208000 , 28990 , 267171840 , 375552000 , 0 , inf,../recordings/acmmm2011/./1920x1200/slideshow.mov,427414528,1341965312,1769379840,267171840,267171840,59524096,1282441216,1341965312,267171840,267171840,982946816,299494400,1282441216,267171840,267171840,299494400,0,299494400,267171840,0
240 , 226 , 13538917 , 113 , 1757376000 , 0 , 0 , 226 , 6443712000 , 11317 , 58667328 , 113000 , 585792000 , 2553 , 13234752 , 146448000 , 0 , inf,../recordings/acmmm2011/./1440x900/document.mov,310223616,484067136,599026752,13234752,13234752,67128832,416938304,484067136,13234752,13234752,403703552,13234752,416938304,13234752,13234752,13234752,0,13234752,13234752,0
240 , 350 , 136587539 , 175 , 2721600000 , 0 , 0 , 350 , 9979200000 , 30198 , 156546432 , 175000 , 907200000 , 26147 , 135546048 , 226800000 , 0 , inf,../recordings/acmmm2011/./1440x900/digg.mov,644906752,700239296,1042746048,135546048,135546048,21369152,678870144,700239296,135546048,135546048,542798656,136071488,678870144,135546048,135546048,136071488,0,136071488,135546048,0
240 , 420 , 136097226 , 210 , 3265920000 , 0 , 0 , 420 , 11975040000 , 31177 , 161621568 , 210000 , 1088640000 , 26048 , 135032832 , 272160000 , 0 , inf,../recordings/acmmm2011/./1440x900/desktop.mov,715049664,871503168,1223672832,135032832,135032832,41602176,829900992,871503168,135032832,135032832,693549312,136351680,829900992,135032832,135032832,136351680,0,136351680,135032832,0
240 , 468 , 840998046 , 234 , 6469632000 , 0 , 0 , 468 , 23721984000 , 96906 , 893085696 , 234000 , 2156544000 , 90883 , 837577728 , 539136000 , 0 , inf,../recordings/acmmm2011/./1920x1200/youtube.mov,660480000,2333641728,2994121728,837577728,837577728,64965632,2268676096,2333641728,837577728,837577728,1428721664,839954432,2268676096,837577728,837577728,839954432,0,839954432,837577728,0
240 , 326 , 70826531 , 163 , 2534976000 , 0 , 0 , 326 , 9294912000 , 39498 , 204757632 , 163000 , 844992000 , 13448 , 69714432 , 211248000 , 0 , inf,../recordings/acmmm2011/./1440x900/email.mov,519596416,676774016,914706432,69714432,69714432,26905792,649868224,676774016,69714432,69714432,579670976,70197248,649868224,69714432,69714432,70197248,0,70197248,69714432,0
240 , 100 , 18173674 , 50 , 777600000 , 0 , 0 , 100 , 2851200000 , 12008 , 62249472 , 50000 , 259200000 , 3442 , 17843328 , 64800000 , 0 , inf,../recordings/acmmm2011/./1440x900/presentation.mov,238244608,125198720,277043328,17843328,17843328,5905856,119292864,125198720,17843328,17843328,101449536,17843328,119292864,17843328,17843328,17843328,0,17843328,17843328,0
240 , 388 , 88047310 , 194 , 3017088000 , 0 , 0 , 388 , 11062656000 , 21125 , 109512000 , 194000 , 1005696000 , 16847 , 87334848 , 251424000 , 0 , inf,../recordings/acmmm2011/./1440x900/flickr.mov,845673920,582588928,1093030848,87334848,87334848,26475136,556113792,582588928,87334848,87334848,467071232,89042560,556113792,87334848,87334848,89042560,0,89042560,87334848,0
240 , 328 , 150220780 , 164 , 2550528000 , 0 , 0 , 328 , 9351936000 , 61554 , 319095936 , 164000 , 850176000 , 28626 , 148397184 , 212544000 , 0 , inf,../recordings/acmmm2011/./1440x900/maps.mov,455647616,826317568,998573184,148397184,148397184,23007744,803309824,826317568,148397184,148397184,653449728,149860096,803309824,148397184,148397184,149860096,0,149860096,148397184,0
240 , 306 , 134283489 , 153 , 2379456000 , 0 , 0 , 306 , 8724672000 , 39214 , 203285376 , 153000 , 793152000 , 25662 , 133031808 , 198288000 , 0 , inf,../recordings/acmmm2011/./1440x900/slideshow.mov,503068736,687499072,926183808,133031808,133031808,20459456,667039616,687499072,133031808,133031808,519191360,147848256,667039616,133031808,133031808,147848256,0,147848256,133031808,0
240 , 426 , 184568361 , 213 , 3312576000 , 0 , 0 , 426 , 12146112000 , 57490 , 298028160 , 213000 , 1104192000 , 35255 , 182761920 , 276048000 , 0 , inf,../recordings/acmmm2011/./1440x900/npr.mov,595134528,1059883392,1286953920,182761920,182761920,49982144,1009901248,1059883392,182761920,182761920,826374912,183526336,1009901248,182761920,182761920,183526336,0,183526336,182761920,0
240 , 326 , 57361823 , 163 , 2534976000 , 0 , 0 , 326 , 9294912000 , 23399 , 121300416 , 163000 , 844992000 , 10931 , 56666304 , 211248000 , 0 , inf,../recordings/acmmm2011/./1440x900/xcode.mov,601722560,581599744,901658304,56666304,56666304,49385792,532213952,581599744,56666304,56666304,475116160,57097792,532213952,56666304,56666304,57097792,0,57097792,56666304,0
240 , 208 , 8606560 , 104 , 718848000 , 0 , 0 , 208 , 2635776000 , 9975 , 22982400 , 104000 , 239616000 , 3612 , 8322048 , 59904000 , 0 , inf,../recordings/acmmm2011/./960x600/document.mov,131020032,196790016,247938048,8322048,8322048,27804416,168985600,196790016,8322048,8322048,160663552,8322048,168985600,8322048,8322048,8322048,0,8322048,8322048,0
240 , 314 , 53221613 , 157 , 1085184000 , 0 , 0 , 314 , 3979008000 , 26906 , 61991424 , 157000 , 361728000 , 22700 , 52300800 , 90432000 , 0 , inf,../recordings/acmmm2011/./960x600/digg.mov,266188544,268416256,414028800,52300800,52300800,8407296,260008960,268416256,52300800,52300800,207696640,52312320,260008960,52300800,52300800,52312320,0,52312320,52300800,0
