Frames,Commands Sent,Bytes Transmitted,IV Num Reads,IV Bytes Read,IV Num Writes,IV Bytes Written,CP Num Reads,CP Bytes Read,CP Num Writes,CP Bytes Written,FV Num Reads,FV Bytes Read,FV Num Writes,FV Bytes Written,Pixels Mapped,Pixels Blended,PSNR,File Name,L1-Hit,L1-Miss,L1-Load,L1-Store,L1-Evict,L2-Hit,L2-Miss,L2-Load,L2-Store,L2-Evict,L3-Hit,L3-Miss,L3-Load,L3-Store,L3-Evict,Mem-Hit,Mem-Miss,Mem-Load,Mem-Store,Mem-Evict
240 , 8640000 , 696690392 , 23614218 , 20775638784 , 0 , 0 , 23614458 , 345442436352 , 65486299 , 33528985088 , 23614218 , 6925212928 , 0 , 0 , 552960000 , 0 , inf,../recordings/acmmm2011/./1920x1200/desktop.mov,2630237440,8192,2630245632,0,0,0,16384,16384,0,0,0,16384,16384,0,0,16384,0,16384,0,0
240 , 8640000 , 994996352 , 27371123 , 24958132992 , 0 , 0 , 27371363 , 357989918976 , 102774544 , 52620566528 , 27371123 , 8319377664 , 0 , 0 , 552960000 , 0 , inf,../recordings/acmmm2011/./1920x1200/digg.mov,4024402176,8192,4024410368,0,0,0,16384,16384,0,0,0,16384,16384,0,0,16384,0,16384,0,0
240 , 8640000 , 1072469608 , 29792052 , 28398910464 , 0 , 0 , 29792292 , 368312251392 , 112458701 , 57578854912 , 29792052 , 9466303488 , 0 , 0 , 552960000 , 0 , inf,../recordings/acmmm2011/./1920x1200/email.mov,876360704,8192,876368896,0,0,0,16384,16384,0,0,0,16384,16384,0,0,16384,0,16384,0,0
240 , 8640000 , 1351101328 , 34782157 , 34668515328 , 0 , 0 , 34782397 , 387121065984 , 147287666 , 75411284992 , 34782157 , 11556171776 , 0 , 0 , 552960000 , 0 , inf,../recordings/acmmm2011/./1920x1200/document.mov,2966228992,8192,2966237184,0,0,0,16384,16384,0,0,0,16384,16384,0,0,16384,0,16384,0,0
240 , 8640000 , 695138848 , 22732010 , 19583059968 , 0 , 0 , 22732250 , 341864699904 , 65292356 , 33429686272 , 22732010 , 6527686656 , 0 , 0 , 552960000 , 0 , inf,../recordings/acmmm2011/./1920x1200/flickr.mov,2232711168,8192,2232719360,0,0,0,16384,16384,0,0,0,16384,16384,0,0,16384,0,16384,0,0
240 , 8640000 , 456332808 , 20165718 , 17566895616 , 0 , 0 , 20165958 , 335816206848 , 35441601 , 18146099712 , 20165718 , 5855631872 , 0 , 0 , 552960000 , 0 , inf,../recordings/acmmm2011/./1920x1200/presentation.mov,1560656768,7808,1560664576,0,0,0,15616,15616,0,0,0,15616,15616,0,0,15616,0,15616,0,0
240 , 8640000 , 935854416 , 26540700 , 24713587968 , 0 , 0 , 26540940 , 357256283904 , 95381802 , 48835482624 , 26540700 , 8237862656 , 0 , 0 , 552960000 , 0 , inf,../recordings/acmmm2011/./1920x1200/npr.mov,3942887168,8192,3942895360,0,0,0,16384,16384,0,0,0,16384,16384,0,0,16384,0,16384,0,0
240 , 8640000 , 1539857328 , 32768474 , 30633522432 , 0 , 0 , 32768714 , 375016087296 , 170882166 , 87491668992 , 32768474 , 10211174144 , 0 , 0 , 552960000 , 0 , inf,../recordings/acmmm2011/./1920x1200/maps.mov,1621231360,8192,1621239552,0,0,0,16384,16384,0,0,0,16384,16384,0,0,16384,0,16384,0,0
240 , 8640000 , 594332984 , 21632961 , 18186865920 , 0 , 0 , 21633201 , 337676117760 , 52691623 , 26978110976 , 21632961 , 6062288640 , 0 , 0 , 552960000 , 0 , inf,../recordings/acmmm2011/./1920x1200/slideshow.mov,1767313408,7936,1767321344,0,0,0,15872,15872,0,0,0,15872,15872,0,0,15872,0,15872,0,0
240 , 4881600 , 427120280 , 13754680 , 12032489856 , 0 , 0 , 13754920 , 195349949568 , 41186035 , 20793064448 , 13754680 , 4010829952 , 0 , 0 , 311040000 , 0 , inf,../recordings/acmmm2011/./1440x900/desktop.mov,4010821760,8192,4010829952,0,0,0,16384,16384,0,0,0,16384,16384,0,0,16384,0,16384,0,0
240 , 8640000 , 611683008 , 22344601 , 19300389120 , 0 , 0 , 22344841 , 341016687360 , 54860376 , 28088512512 , 22344601 , 6433463040 , 0 , 0 , 552960000 , 0 , inf,../recordings/acmmm2011/./1920x1200/youtube.mov,2138487552,8192,2138495744,0,0,0,16384,16384,0,0,0,16384,16384,0,0,16384,0,16384,0,0
240 , 8640000 , 907436560 , 26826290 , 24325220352 , 0 , 0 , 26826530 , 356091181056 , 91829570 , 47016739840 , 26826290 , 8108406784 , 0 , 0 , 552960000 , 0 , inf,../recordings/acmmm2011/./1920x1200/xcode.mov,3813431296,8192,3813439488,0,0,0,16384,16384,0,0,0,16384,16384,0,0,16384,0,16384,0,0
240 , 4881600 , 609134376 , 16062862 , 14613650688 , 0 , 0 , 16063102 , 203093432064 , 63937797 , 32424605440 , 16062862 , 4871216896 , 0 , 0 , 311040000 , 0 , inf,../recordings/acmmm2011/./1440x900/digg.mov,576241536,8064,576249600,0,0,0,16128,16128,0,0,0,16128,16128,0,0,16128,0,16128,0,0
240 , 4881600 , 859715504 , 20807115 , 20475423744 , 0 , 0 , 20807355 , 220678751232 , 95260438 , 48465345024 , 20807115 , 6825141248 , 0 , 0 , 311040000 , 0 , inf,../recordings/acmmm2011/./1440x900/document.mov,2530165760,8192,2530173952,0,0,0,16384,16384,0,0,0,16384,16384,0,0,16384,0,16384,0,0
240 , 4881600 , 414637080 , 13316006 , 11460163968 , 0 , 0 , 13316246 , 193632971904 , 39625635 , 19977032192 , 13316006 , 3820054656 , 0 , 0 , 311040000 , 0 , inf,../recordings/acmmm2011/./1440x900/flickr.mov,3820046464,8192,3820054656,0,0,0,16384,16384,0,0,0,16384,16384,0,0,16384,0,16384,0,0
240 , 4881600 , 654474824 , 17334945 , 16349926656 , 0 , 0 , 17335185 , 208302259968 , 69605353 , 35323055616 , 17334945 , 5449975552 , 0 , 0 , 311040000 , 0 , inf,../recordings/acmmm2011/./1440x900/email.mov,1155000064,8192,1155008256,0,0,0,16384,16384,0,0,0,16384,16384,0,0,16384,0,16384,0,0
240 , 4881600 , 897727984 , 18943534 , 17545800192 , 0 , 0 , 18943774 , 211889880576 , 100011998 , 50894880000 , 18943534 , 5848600064 , 0 , 0 , 311040000 , 0 , inf,../recordings/acmmm2011/./1440x900/maps.mov,1553624576,8192,1553632768,0,0,0,16384,16384,0,0,0,16384,16384,0,0,16384,0,16384,0,0
240 , 4881600 , 288564376 , 11863219 , 10390827264 , 0 , 0 , 11863459 , 190424961792 , 23866547 , 11821540864 , 11863219 , 3463609088 , 0 , 0 , 311040000 , 0 , inf,../recordings/acmmm2011/./1440x900/presentation.mov,3463601280,7808,3463609088,0,0,0,15616,15616,0,0,0,15616,15616,0,0,15616,0,15616,0,0
