Frames,Commands Sent,Bytes Transmitted,IV Num Reads,IV Bytes Read,IV Num Writes,IV Bytes Written,CP Num Reads,CP Bytes Read,CP Num Writes,CP Bytes Written,FV Num Reads,FV Bytes Read,FV Num Writes,FV Bytes Written,Pixels Mapped,Pixels Blended,PSNR,File Name,L1-Hit,L1-Miss,L1-Load,L1-Store,L1-Evict,L2-Hit,L2-Miss,L2-Load,L2-Store,L2-Evict,L3-Hit,L3-Miss,L3-Load,L3-Store,L3-Evict,Mem-Hit,Mem-Miss,Mem-Load,Mem-Store,Mem-Evict
240 , 240 , 252177096 , 0 , 0 , 0 , 0 , 480 , 13271040000 , 0 , 0 , 240 , 2211840000 , 27339 , 251956224 , 552960000 , 0 , inf,../recordings/acmmm2011/./1920x1200/document.mov,0,2463796224,2463796224,251956224,251956224,95872,2463700352,2463796224,251956224,251956224,2454484352,9216000,2463700352,251956224,9216000,9216000,0,9216000,9216000,0
240 , 174 , 356463046 , 0 , 0 , 0 , 0 , 348 , 9621504000 , 0 , 0 , 174 , 1603584000 , 38645 , 356152320 , 400896000 , 0 , inf,../recordings/acmmm2011/./1920x1200/digg.mov,1856,1959734016,1959735872,356152320,356152320,379392,1959354624,1959734016,356152320,356152320,1950138624,9216000,1959354624,356152320,9216000,9216000,0,9216000,9216000,0
240 , 220 , 359987028 , 0 , 0 , 0 , 0 , 440 , 12165120000 , 0 , 0 , 220 , 2027520000 , 39027 , 359672832 , 506880000 , 0 , inf,../recordings/acmmm2011/./1920x1200/desktop.mov,4608,2387187968,2387192576,359672832,359672832,729984,2386457984,2387187968,359672832,359672832,2377241984,9216000,2386457984,359672832,9216000,9216000,0,9216000,9216000,0
240 , 238 , 458923814 , 0 , 0 , 0 , 0 , 476 , 13160448000 , 0 , 0 , 238 , 2193408000 , 49753 , 458523648 , 548352000 , 0 , inf,../recordings/acmmm2011/./1920x1200/email.mov,0,2651931648,2651931648,458523648,458523648,5056,2651926592,2651931648,458523648,458523648,2642710592,9216000,2651926592,458523648,9216000,9216000,0,9216000,9216000,0
240 , 186 , 248053482 , 0 , 0 , 0 , 0 , 372 , 10285056000 , 0 , 0 , 186 , 1714176000 , 26892 , 247836672 , 428544000 , 0 , inf,../recordings/acmmm2011/./1920x1200/flickr.mov,1408,1962009984,1962011392,247836672,247836672,635648,1961374336,1962009984,247836672,247836672,1952158336,9216000,1961374336,247836672,9216000,9216000,0,9216000,9216000,0
240 , 240 , 302318760 , 0 , 0 , 0 , 0 , 480 , 13271040000 , 0 , 0 , 240 , 2211840000 , 32775 , 302054400 , 552960000 , 0 , inf,../recordings/acmmm2011/./1920x1200/presentation.mov,0,2513894400,2513894400,302054400,302054400,0,2513894400,2513894400,302054400,302054400,2504678400,9216000,2513894400,302054400,9216000,9216000,0,9216000,9216000,0
240 , 239 , 675743167 , 0 , 0 , 0 , 0 , 478 , 13215744000 , 0 , 0 , 239 , 2202624000 , 73259 , 675154944 , 550656000 , 0 , inf,../recordings/acmmm2011/./1920x1200/npr.mov,0,2877778944,2877778944,675154944,675154944,92032,2877686912,2877778944,675154944,675154944,2868470912,9216000,2877686912,675154944,9216000,9216000,0,9216000,9216000,0
240 , 236 , 715240308 , 0 , 0 , 0 , 0 , 472 , 13049856000 , 0 , 0 , 236 , 2174976000 , 77541 , 714617856 , 543744000 , 0 , inf,../recordings/acmmm2011/./1920x1200/maps.mov,0,2889593856,2889593856,714617856,714617856,93824,2889500032,2889593856,714617856,714617856,2880284032,9216000,2889500032,714617856,9216000,9216000,0,9216000,9216000,0
240 , 240 , 244189112 , 0 , 0 , 0 , 0 , 480 , 13271040000 , 0 , 0 , 240 , 2211840000 , 26473 , 243975168 , 552960000 , 0 , inf,../recordings/acmmm2011/./1920x1200/xcode.mov,0,2455815040,2455815040,243975168,243975168,223616,2455591424,2455815040,243975168,243975168,2446375424,9216000,2455591424,243975168,9216000,9216000,0,9216000,9216000,0
240 , 240 , 568504952 , 0 , 0 , 0 , 0 , 480 , 13271040000 , 0 , 0 , 240 , 2211840000 , 61633 , 568009728 , 552960000 , 0 , inf,../recordings/acmmm2011/./1920x1200/slideshow.mov,0,2779849728,2779849728,568009728,568009728,9664,2779840064,2779849728,568009728,568009728,2770624064,9216000,2779840064,568009728,9216000,9216000,0,9216000,9216000,0
240 , 240 , 71817904 , 0 , 0 , 0 , 0 , 480 , 7464960000 , 0 , 0 , 240 , 1244160000 , 13832 , 71705088 , 311040000 , 0 , inf,../recordings/acmmm2011/./1440x900/document.mov,0,1324970496,1324970496,71705088,80810496,3466368,1321504128,1324970496,80810496,80810496,1316320128,5184000,1321504128,80810496,5184000,5184000,0,5184000,5184000,0
240 , 215 , 184338703 , 0 , 0 , 0 , 0 , 430 , 6687360000 , 0 , 0 , 215 , 1114560000 , 35504 , 184052736 , 278640000 , 0 , inf,../recordings/acmmm2011/./1440x900/desktop.mov,16192,1308927552,1308943744,184052736,194386176,1305472,1307622080,1308927552,194386176,194386176,1302438080,5184000,1307622080,194386176,5184000,5184000,0,5184000,5184000,0
240 , 177 , 180766265 , 0 , 0 , 0 , 0 , 354 , 5505408000 , 0 , 0 , 177 , 917568000 , 34816 , 180486144 , 229392000 , 0 , inf,../recordings/acmmm2011/./1440x900/digg.mov,6656,1106470976,1106477632,180486144,188924096,598208,1105872768,1106470976,188924096,188923392,1100688768,5184000,1105872768,188923392,5184000,5184000,0,5184000,5184000,0
240 , 201 , 131016737 , 0 , 0 , 0 , 0 , 402 , 6251904000 , 0 , 0 , 201 , 1041984000 , 25234 , 130813056 , 260496000 , 0 , inf,../recordings/acmmm2011/./1440x900/flickr.mov,17920,1181332736,1181350656,130813056,139378560,1661824,1179670912,1181332736,139378560,139378176,1174486912,5184000,1179670912,139378176,5184000,5184000,0,5184000,5184000,0
240 , 238 , 254057086 , 0 , 0 , 0 , 0 , 476 , 7402752000 , 0 , 0 , 238 , 1233792000 , 48932 , 253663488 , 308448000 , 0 , inf,../recordings/acmmm2011/./1440x900/email.mov,0,1508840512,1508840512,253663488,275049216,34112,1508806400,1508840512,275049216,275049216,1503622400,5184000,1508806400,275049216,5184000,5184000,0,5184000,5184000,0
240 , 236 , 333712732 , 0 , 0 , 0 , 0 , 472 , 7340544000 , 0 , 0 , 236 , 1223424000 , 64274 , 333196416 , 305856000 , 0 , inf,../recordings/acmmm2011/./1440x900/maps.mov,0,1587836672,1587836672,333196416,364417024,172288,1587664384,1587836672,364417024,364416768,1582480384,5184000,1587664384,364416768,5184000,5184000,0,5184000,5184000,0
240 , 240 , 143545384 , 0 , 0 , 0 , 0 , 480 , 7464960000 , 0 , 0 , 240 , 1244160000 , 27647 , 143322048 , 311040000 , 0 , inf,../recordings/acmmm2011/./1440x900/presentation.mov,0,1406912256,1406912256,143322048,162752256,119424,1406792832,1406912256,162752256,162752256,1401608832,5184000,1406792832,162752256,5184000,5184000,0,5184000,5184000,0
240 , 235 , 1008498931 , 0 , 0 , 0 , 0 , 470 , 12994560000 , 0 , 0 , 235 , 2165760000 , 109334 , 1007622144 , 541440000 , 0 , inf,../recordings/acmmm2011/./1920x1200/youtube.mov,0,3173382144,3173382144,1007622144,1007622144,19008,3173363136,3173382144,1007622144,1007622144,3164147136,9216000,3173363136,1007622144,9216000,9216000,0,9216000,9216000,0
240 , 240 , 359771416 , 0 , 0 , 0 , 0 , 480 , 7464960000 , 0 , 0 , 240 , 1244160000 , 69293 , 359214912 , 311040000 , 0 , inf,../recordings/acmmm2011/./1440x900/npr.mov,1728,1632419136,1632420864,359214912,388260864,104768,1632314368,1632419136,388260864,388260864,1627130368,5184000,1632314368,388260864,5184000,5184000,0,5184000,5184000,0
240 , 240 , 151297040 , 0 , 0 , 0 , 0 , 480 , 7464960000 , 0 , 0 , 240 , 1244160000 , 29140 , 151061760 , 311040000 , 0 , inf,../recordings/acmmm2011/./1440x900/xcode.mov,0,1410534144,1410534144,151061760,166374144,941440,1409592704,1410534144,166374144,166374144,1404408704,5184000,1409592704,166374144,5184000,5184000,0,5184000,5184000,0
